relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,5.5123131080283825,51.51987706805546,,33.2283682298633,25.4818028082857,0.0159,10.9,3.8121020739510927
-29.5,,,,,,,0.0159,10.9,3.8121020739510927
-29.0,,,,,,,0.0159,10.9,3.8121020739510927
-28.5,,,,,,,0.0159,10.9,3.8121020739510927
-28.0,,,,,,,0.0159,10.9,3.8121020739510927
-27.5,,,,,,,0.0159,10.9,3.8121020739510927
-27.0,,8.134327757539241,22.471945457436135,,28.1381914647351,30.8478459007578,0.0159,10.9,3.8121020739510927
-26.5,,,,,,,0.0159,10.9,3.8121020739510927
-26.0,,,,,,,0.0159,10.9,3.8121020739510927
-25.5,,,,,,,0.0159,10.9,3.8121020739510927
-25.0,,10.929778251855081,9.791827077242333,,38.692705217003,30.1264239465921,0.0159,10.9,3.8121020739510927
-24.5,,,,,,,0.0159,10.9,3.8121020739510927
-24.0,,,,,,,0.0159,10.9,3.8121020739510927
-23.5,,,,,,,0.0159,10.9,3.8121020739510927
-23.0,,20.441818836370345,-18.50701520358896,,33.2204615374535,36.750500713586,0.0159,10.9,3.8121020739510927
-22.5,,,,,,,0.0159,10.9,3.8121020739510927
-22.0,,,,,,,0.0159,10.9,3.8121020739510927
-21.5,,,,,,,0.0159,10.9,3.8121020739510927
-21.0,,-41.10018941432474,-13.931752159105065,,34.7761215625194,34.6500931132596,0.0159,10.9,3.8121020739510927
-20.5,,,,,,,0.0159,10.9,3.8121020739510927
-20.0,,,,,,,0.0159,10.9,3.8121020739510927
-19.5,,,,,,,0.0159,10.9,3.8121020739510927
-19.0,,24.1409558701189,-10.291129532511345,,34.6969657049055,26.9071584177299,0.0159,10.9,3.8121020739510927
-18.5,,,,,,,0.0159,10.9,3.8121020739510927
-18.0,,,,,,,0.0159,10.9,3.8121020739510927
-17.5,,,,,,,0.0159,10.9,3.8121020739510927
-17.0,,-12.397985876801846,-6.636288614192566,,36.5063786220715,26.482083168676,0.0159,10.9,3.8121020739510927
-16.5,,,,,,,0.0159,10.9,3.8121020739510927
-16.0,,,,,,,0.0159,10.9,3.8121020739510927
-15.5,,,,,,,0.0159,10.9,3.8121020739510927
-15.0,,-13.71292976941755,-20.08705971813804,,38.4823721535075,28.4772231874689,0.0159,10.9,3.8121020739510927
-14.5,,,,,,,0.0159,10.9,3.8121020739510927
-14.0,,,,,,,0.0159,10.9,3.8121020739510927
-13.5,,,,,,,0.0159,10.9,3.8121020739510927
-13.0,,,,,,,0.0159,10.9,3.8121020739510927
-12.5,,,,,,,0.0159,10.9,3.8121020739510927
-12.0,,51.62073566420381,5.384336380558611,,42.6785096570194,48.8079285964473,0.0159,10.9,3.8121020739510927
-11.5,,,,,,,0.0159,10.9,3.8121020739510927
-11.0,,,,,,,0.0159,10.9,3.8121020739510927
-10.5,,,,,,,0.0159,10.9,3.8121020739510927
